name,profile_link,profile_pic_link,date_time,post_text,picture_link,video_link,other_link,hashtags
Dan Gillmor,https://mastodon.social/@dangillmor,https://files.mastodon.social/accounts/avatars/109/208/442/152/198/181/original/a98930cc33876975.png,2h,"So the head of ""Open""AI is bragging about how text generators like his product mean there are gazillion words being generated every day.
The great Ted Sturgeon said that ""90 percent of everything is crap.""
Thanks to AI, we need to revise that to 99 percent of everything is crap.
What will it be in a decade?",-,-,-,-
George Takei,https://mastodon.social/@georgetakei@universeodon.com,https://files.mastodon.social/cache/accounts/avatars/109/355/700/962/815/786/original/7d278db7224de27d.jpg,3h,Dad joke incoming.,"https://files.mastodon.social/cache/media_attachments/files/111/907/956/050/198/861/small/16fbd6f975e6dcb1.png , ",-,-,-
Auschwitz Memorial,https://mastodon.social/@auschwitzmuseum@mastodon.world,https://files.mastodon.social/cache/accounts/avatars/109/363/522/574/341/875/original/427aafb01957d0de.jpg,1h,"10 February 1929 | A Polish Jewish girl, Maryla Grinbaum, was born in Krakow. 
She was imprisoned in KL Plaszow, and in May 1944 she was transferred to Auschwitz. She did not survive. ","https://files.mastodon.social/cache/media_attachments/files/111/908/488/240/636/667/small/ec657c1f8345bf2e.jpeg , ",-,-, #Auschwitz #Birkenau #Holocaust
Thunderstrike,https://mastodon.social/@tstrike78,https://files.mastodon.social/accounts/avatars/110/641/864/625/078/609/original/be602303378de83e.png,4h,"This is Monet, and she is enjoying the view from my inbox on this beautiful #Caturday. ","https://files.mastodon.social/media_attachments/files/111/907/751/973/451/660/small/3878e0f9eb4fb4da.jpg , ",-,https://mastodon.social/tags/Caturday, #catsofmastodon
OpenStreetMap,https://mastodon.social/@openstreetmap@en.osm.town,https://files.mastodon.social/cache/accounts/avatars/000/381/450/original/d6567ced97f34b11.jpg,4h,"OpenStreetMap has been registered as a “Digital Public Good” by the Digital Public Goods Alliance (DPGA), which is a multi-stakeholder United Nations-endorsed initiative. The designation is an important step in making sure that OSM is recognized for its positive role in global economic development.
 https://
blog.openstreetmap.org/2024/02
/05/osm-named-as-a-digital-public-good-by-un-affiliated-agency/

#OpenStreetMap #OSM #gis #geo #UN",-,-,https://blog.openstreetmap.org/2024/02/05/osm-named-as-a-digital-public-good-by-un-affiliated-agency/,-
"Austin Kocher, PhD",https://mastodon.social/@austinkocher,https://files.mastodon.social/accounts/avatars/109/246/333/737/365/889/original/63c3e808423543ad.jpeg,4h,"When I see people reacting online with animosity towards migrants, I often think of the research of Karen Neff, who showed the critical role of self-compassion for developing compassion towards others. Our broken systems beat people down and set them up to take it out on others.",-,-,-,-
Fedi.Tips,https://mastodon.social/@FediTips@social.growyourown.services,https://files.mastodon.social/cache/accounts/avatars/111/591/595/219/874/559/original/0c4cf290d9d82211.png,1h,"You can embed Mastodon posts on your own website, blog or any platform that accepts HTML code. To embed a post:
1. Log in through your server's website or web app
2. Go to post you want to embed
3. Click ⋯ at bottom of the post, then select ""Embed""
4. Copy and paste the HTML code into your website’s page code
(If your website or blog uses WordPress, use the ""Custom HTML"" block and NOT the ""Embed"" block.)
Lots more questions about embedding answered at:
 https://
fedi.tips/how-to-embed-mastodo
n-posts-on-a-website",-,-,https://fedi.tips/how-to-embed-mastodon-posts-on-a-website, #FediTips
⋆✧Catherine✧⋆,https://mastodon.social/@whitequark,https://files.mastodon.social/accounts/avatars/000/026/245/original/4e1634a5e84fce9d.png,1h,"was watching videos about racecars and had concluded (i know very little about racecars) that a racecar is more or less an airplane that is optimized solely for landing, and must be landing as hard as it can at all times",-,-,-,-
Scott Edelman,https://mastodon.social/@ScottEdelman@wandering.shop,https://files.mastodon.social/cache/accounts/avatars/109/298/540/321/363/868/original/9d8783d94ce9c333.jpeg,2h,"Book humor, 1953.","https://files.mastodon.social/cache/media_attachments/files/111/908/038/149/209/310/small/7b4cac4138d84854.jpg , ",-,-,-
Jason Thorne,https://mastodon.social/@JasonThorne,https://files.mastodon.social/accounts/avatars/109/252/043/786/856/482/original/914074846b4df331.jpg,5h,House prices vs. incomes in Canada from 1984 to 2022 (source: Beauty of Data),-,-,-,-
RustyBertrand,https://mastodon.social/@RustyBertrand,https://files.mastodon.social/accounts/avatars/109/366/355/876/244/350/original/49863f20a79bdb58.jpg,4h,,"https://files.mastodon.social/media_attachments/files/111/907/571/564/484/095/small/697fe6ad6331927f.jpg , ",-,-,-
RustyBertrand,https://mastodon.social/@RustyBertrand,https://files.mastodon.social/accounts/avatars/109/366/355/876/244/350/original/49863f20a79bdb58.jpg,4h,,"https://files.mastodon.social/media_attachments/files/111/907/571/564/484/095/small/697fe6ad6331927f.jpg , ",-,-,-
kim_harding,https://mastodon.social/@kim_harding@mastodon.scot,https://files.mastodon.social/cache/accounts/avatars/109/293/880/530/618/978/original/689c498b9112325f.jpg,1h,"Cycling is ten times more important than electric cars for reaching net-zero cities 
https://
theconversation.com/cycling-is
-ten-times-more-important-than-electric-cars-for-reaching-net-zero-cities-157163
 So when are Local Authorities going to start investing it? E-cars are about saving the motor industry not the planet.",-,-,https://theconversation.com/cycling-is-ten-times-more-important-than-electric-cars-for-reaching-net-zero-cities-157163, #FuckCars
